start_station_name,total_trips,start_lat,start_lng,postalCode,geometry,zip_code,HVI_Score
Greenwich Ave & 8 Ave,10764,40.7390169121,-74.0026376103,10014,POINT (-74.0026376103 40.7390169121),10014,1.0
Greenwich Ave & Charles St,5703,40.735238,-74.000271,10011,POINT (-74.000271 40.735238),10011,1.0
Greenwich St & Hubert St,4147,40.721319,-74.010065,10013,POINT (-74.010065 40.721319),10013,2.0
Greenwich St & Perry St,4801,40.73498,-74.00697,10014,POINT (-74.00697 40.73498),10014,1.0
Greenwich St & Rector St,2777,40.70806582380646,-74.0135595202446,10006,POINT (-74.0135595202446 40.70806582380646),10006,1.0
Greenwich St & W Houston St,6275,40.728846,-74.008591,10014,POINT (-74.008591 40.728846),10014,1.0
Greenwood Ave & E 4 St,621,40.650739,-73.977739,11218,POINT (-73.977739 40.650739),11218,3.0
Grove St & Broadway,1941,40.69047,-73.923511,11221,POINT (-73.923511 40.69047),11221,4.0
Grove St & Fresh Pond Rd,518,40.71032,-73.89955,11385,POINT (-73.89955 40.71032),11385,1.0
Halsey St & Broadway,772,40.68565,-73.91564,11233,POINT (-73.91564 40.68565),11233,5.0
Halsey St & Evergreen Ave,705,40.68858,-73.91227,11207,POINT (-73.91227 40.68858),11207,5.0
Halsey St & Ralph Ave,856,40.68494,-73.92299,11233,POINT (-73.92299 40.68494),11233,5.0
Halsey St & Tompkins Ave,3540,40.6823687,-73.944118,11216,POINT (-73.944118 40.6823687),11216,4.0
Hamilton Pl & W 140 St,872,40.822756,-73.951346,10031,POINT (-73.951346 40.822756),10031,4.0
Hancock St & Bedford Ave,2663,40.68216564,-73.95399026,11216,POINT (-73.95399026 40.68216564),11216,4.0
Hancock St & Malcolm X Blvd,1620,40.68487,-73.9293,11233,POINT (-73.9293 40.68487),11233,5.0
Hancock St & Stuyvesant Ave,1252,40.68454,-73.9322,11233,POINT (-73.9322 40.68454),11233,5.0
Hancock St & Wyckoff Ave,824,40.6972,-73.90674,11385,POINT (-73.90674 40.6972),11385,1.0
Hanson Pl & Ashland Pl,8590,40.68506807308177,-73.97790759801863,11217,POINT (-73.97790759801863 40.68506807308177),11217,2.0
Harlem River Dr & W 155 St,399,40.830476,-73.939929,10039,POINT (-73.939929 40.830476),10039,5.0
Harman St & Seneca Ave,873,40.70577,-73.91292,11385,POINT (-73.91292 40.70577),11385,1.0
Harrison Pl & Porter Ave,862,40.70686,-73.92851,11237,POINT (-73.92851 40.70686),11237,4.0
Harrison St & Hudson St,2679,40.71870987,-74.0090009,10013,POINT (-74.0090009 40.71870987),10013,2.0
Hart St & Wyckoff Ave,1088,40.704876,-73.919911,11237,POINT (-73.919911 40.704876),11237,4.0
Hazen St & 20 Ave,285,40.772092,-73.895166,11370,POINT (-73.895166 40.772092),11370,3.0
Henry St & Atlantic Ave,3691,40.69089272,-73.99612349,11201,POINT (-73.99612349 40.69089272),11201,2.0
Henry St & Bay St,635,40.6725058,-74.00494695,11231,POINT (-74.00494695 40.6725058),11231,2.0
Henry St & Degraw St,2390,40.6847514,-73.99917254,11231,POINT (-73.99917254 40.6847514),11231,2.0
Henry St & Grand St,6558,40.714211,-73.981095,10002,POINT (-73.981095 40.714211),10002,3.0
